allowed_wording,claim_id,claim_text,contradicting_result,evidence_source,forbidden_wording,manuscript_location,reviewer_relevance,scientific_status,supporting_result
Support contains transferable corruption-related information under the registered development protocol.,C01,Query-disjoint support contains transferable ocular-corruption information.,Transfer of an operator does not establish useful EEG-only temporal estimation or denoising.,V20 natural support-to-query operator transfer,Support guarantees subject-specific denoising benefit.,Introduction; Evaluation protocol; Discussion,subject mechanism and transductive-setting clarification,supported,N_P=+0.178803; N_W=+0.174162; 15/15 positive; p=1/100001.
Some frozen support-conditioned routes improve paired development risk relative to population controls.,C02,Support improves paired denoising versus a strong population route.,Effects are development-only and do not identify the correct donor reliably.,V25/V26 and V30 common-panel replay,Personalization universally improves denoising.,Paired utility results,subject-component ablation and statistics,partially_supported,V30 V25 and V26 correct support improve over population and mean-wrong on paired development.
Correct-context specificity is mixed and not identified by the current controls.,C03,The correct support donor is specifically useful.,Correct top-1 is 1/15; lagged/shuffled controls slightly outperform correct support.,V30 15x15 all-donor and lag/shuffle falsification,Participant-specific calibration specificity is established.,Specificity audit; Limitations,subject mechanism and negative controls,mixed,Correct support beats mean wrong for V25/V26.
Selected diffusion and deterministic controls occupy a comparable development range.,C04,Support-aware diffusion is competitive with matched deterministic estimation.,V26 SDEdit is slightly worse than matched one-step and V25 latent diffusion is uniformly worse.,V26/V27/V29 matched comparisons,Diffusion consistently outperforms deterministic denoisers.,Competitive positioning,strong deterministic baselines,partially_supported,V27 EnergySDEdit and EnergyDET are essentially equivalent; V29 CDM and DET occupy the same narrow range.
"Diffusion is evaluated as a competitive stochastic formulation, not a superior estimator.",C05,Diffusion is superior to deterministic estimation.,V25 DIFF-DET is negative for 15/15; V26 one-step is better; V27 is equivalent.,V25-V30 frozen comparisons,Diffusion provides superior denoising accuracy.,Abstract claim removed; Discussion,subject-agnostic DDPM and method comparison,unsupported,No robust supporting result.
"Some operating points attenuate the evaluator-defined natural ocular reference, with explicit trade-offs.",C06,A frozen candidate produces absolute natural ocular-artifact attenuation.,Attenuation is coupled to observation-retention and PSD costs; V29 remaining is above 1.,V30 corrected natural common panel,Natural EEG is cleanly recovered.,Natural attenuation-retention trade-off,natural validity,partially_supported,V25/V26/V27 have remaining ratio below 1; V27-L0.5 remaining=0.929094.
Observation retention and attenuation form a measured Pareto trade-off.,C07,The method retains the natural observation in low-EOG intervals.,The more attenuating V25/V26/V27-L0.5 candidates show substantial correction/PSD cost.,V28-corrected metric and V30 natural panel,Low-EOG retention proves neural preservation.,Natural trade-off; Metric definitions,preservation semantics,mixed,V29 retention=0.993272; V27 energy exposes a tunable retention endpoint.
Task-valid physiological preservation was not evaluable.,C08,"ERP, SSVEP, or other physiological/task information is preserved.",Earlier ERP/SSVEP aliases were invalid and removed.,V28 event/task inventory,ERP/SSVEP preservation is established.,Limitations,downstream/task-valid preservation,unavailable,None; endpoints are unavailable.
Support-duration sensitivity is reported under the exact V31 prefix contract.,C09,Support acquisition burden is characterized.,V30 duration evidence is superseded because its contract used overlap/future normalization/subsampling.,V31 exact 0/5/10/30/120 s repair,The invalid V30 duration curve establishes sample efficiency.,Computational cost and support burden,target data amount,supported,"Exact non-overlapping prefix curves report acquisition span, effective exposure, and encoding cost."
Registered A100 latency/memory and step curves are reported.,C10,Sampler latency and memory are characterized.,Measurements are hardware- and implementation-specific.,V30 fixed A100 5/10/25-step benchmark,Deployment latency is universally guaranteed.,Computational cost,steps/latency/memory,supported,"Batch-1 DDIM10: V26 37.56 ms, V29 55.41 ms; fixed model footprints and memory reported."
Stored states show substantial development participant-linkage risk.,C11,Stored support states create participant-linkage risk.,This is not a formal privacy attack or external-cohort audit.,V30 development linkage diagnostic,The representation is anonymous or privacy-safe.,Privacy-linkage audit,privacy risk,supported,Context+projector top-1=0.836 and same/different AUROC=0.962.
No deployment claim is made.,C12,The method is safe for deployment.,"Mixed specificity, retention concern, linkage risk, and no confirmation.",No deployment study,Safe deployment or clinical readiness.,Limitations,scope boundary,unsupported,None.
Evidence is limited to the registered within-session setting.,C13,Support effects are stable across sessions.,Cross-session permanence was not tested.,Within-session development protocol only,Cross-session stability or permanence.,Limitations,transductive/support setting,unavailable,None beyond registered within-session support-to-later-query separation.
Cross-montage generalization remains future work.,C14,The method generalizes across montages or acquisition protocols.,No valid additional-montage confirmation has been opened.,Fixed-montage development evidence,Cross-montage or universal acquisition generalization.,Limitations; Future work,additional dataset/montage,unavailable,None.
