requirement_id,source,requirement,implementation_or_test,status_and_evidence
ATT-MANIFEST-001,"ARTIFACTS.md:5-8; server instruction:161-184","Independently inventory all current attachments with size hash media type read state and mtime","reports/attachment_manifest.json; reports/attachment_review.md","semantic evidence verified and declared hashes/sizes matched; initial Slurm jobs 918740/918742 are provenance-incomplete and hardened supplement is pending"
ATT-CLEAN-001,"bundle README.md:8-10","Do not inherit superseded code checkpoints logs numerical results figures prose or bibliography as evidence","reports/bootstrap_state.md; reports/implementation_plan.md","in_progress; existing repository preserved but all old results remain untrusted"
ATT-INTEGRITY-001,"bundle README.md:48-53","Admit empirical values only from provenance-tracked experiments and leave author data absent until audited","run/result contracts; final report","pending; manuscript has no admissible empirical result"
ATT-SUB-001,"bundle SUBMISSION_CHECKLIST.md:3-7","Do not submit or fill open TBD fields with illustrative or inherited values","reports/attachment_review.md","blocked; 230 TBD tokens in full manuscript source and no submission authority"
ATT-SUB-002,"bundle SUBMISSION_CHECKLIST.md:11-13","Obtain TAAS editor guidance on revision track versus new submission","external editorial record","blocked; external human action not authorized or available"
ATT-SUB-003,"bundle SUBMISSION_CHECKLIST.md:14-17","Audit contributions and provide real author metadata funding and conflicts without restoring old block","human verification ledger","blocked; requires accountable human authors"
ATT-SUB-004,"bundle SUBMISSION_CHECKLIST.md:18-22","Confirm ScholarOne mode and regenerate final CCS descriptors","submission checklist","blocked; external/editorial decision"
ATT-DATA-001,"bundle SUBMISSION_CHECKLIST.md:24-27","Complete access license original-consent and local-secondary-use ledger for every dataset and omit unavailable studies","datasets/registry/*.json; reports/data_inventory/","pending; inventory and authorization audit not yet complete"
ATT-ETHICS-001,"bundle SUBMISSION_CHECKLIST.md:28-29","Before any new calibration collection record approval consent compensation and protocol ID","ethics ledger","not_authorized; no new human data collection will be performed"
ATT-DATA-002,"bundle SUBMISSION_CHECKLIST.md:30-31","Freeze raw inventory hashes participant/session counts exclusions channel maps and immutable support/query manifests","reports/data_inventory/; datasets/splits/","pending scheduled inventory and split audit"
ATT-AI-001,"bundle SUBMISSION_CHECKLIST.md:32-33","Maintain AI-use and independent human-verification ledger and reconcile final ACM policy","reports/ai_use_ledger.md","pending; final policy/human sign-off external"
ATT-PREREG-001,"bundle SUBMISSION_CHECKLIST.md:35-41","Sign five gate thresholds and freeze prior E0 transfer rank ridge variance attenuation guidance sampler clipping budgets reliability seeds decoders and margins before outer test","configs/gates/; configs/priors/; configs/operators/; configs/statistics/","blocked; values remain TBD-PREREG and scientific conflicts are unresolved"
ATT-NULL-001,"bundle SUBMISSION_CHECKLIST.md:42-44","NULL short-circuits before context computation and is pathwise identical to direct same-query population posterior; unconditional fallback forbidden","tests/leakage/; tests/unit/test_null.py","blocked by CONFLICT-SCI-001; test contract may be scaffolded but not semantically implemented"
ATT-BACKUP-001,"bundle SUBMISSION_CHECKLIST.md:45-49","Keep B1-B6 disabled; only one prospectively amended diagnosed family on a new split; query targets never select","configs/deferred_backups/; gate controller","blocked by CONFLICT-SCI-003; safe common action is disabled stubs only"
ATT-BASELINE-001,"bundle SUBMISSION_CHECKLIST.md:50-53","Missing matched one-step operator controls native SGEYESUB or oracle subtraction blocks corresponding claims","configs/baselines/; information-parity audit","pending; no scientific claim is enabled"
ATT-RESULT-001,"bundle SUBMISSION_CHECKLIST.md:54-56","Populate tables figures and narrative only from the same provenance-bound outputs","results schemas; reporting pipeline","pending; no empirical output admitted"
ATT-CLAIM-001,"bundle SUBMISSION_CHECKLIST.md:57-59","Remove diffusion personalization real-data or deployment claims when the corresponding gate fails","gate status controller; final report","pending; all gates unrun"
ATT-ARTIFACT-001,"bundle SUBMISSION_CHECKLIST.md:61-69","Before submission reproduce static/build audits and visually inspect all pages without unexplained TBD or harmful layout errors","reports/attachment_review.md; future build job","partially_verified; current 54-page PDF visually inspected, server rebuild/static audit pending"
ATT-ARCHIVE-001,"bundle SUBMISSION_CHECKLIST.md:70-71","Archive source environments manifests configs commands raw metrics and checksums","local artifact manifests","pending_local; any remote archive or upload is unauthorized"
ATT-LIT-001,"bundle sources/operator_backup_search_20260801.md:21-33","Treat lag frequency covariance graph CCA Wiener and SGEYESUB sources as motivation not efficacy evidence","reports/attachment_review.md; deferred docs","verified as claim boundary; no backup evidence claimed"
ATT-LIT-002,"bundle sources/operator_backup_search_20260801.md:35-39","Keep RPCA exploratory and graph/filter-bank designs unvalidated","configs/deferred_backups/","pending disabled stubs only"
EXEC-001,"bundle notes/server_codex_experiment_instruction.md:9-18","Use fixed roots and evidence priority; never fabricate or hide gaps; record and stop on scientific conflicts","reports/bootstrap_state.md; reports/attachment_review.md; this CSV","verified for bootstrap/review; three scientific conflicts recorded and downstream science stopped"
EXEC-002,"bundle notes/server_codex_experiment_instruction.md:20-62","Enforce population base then P0 then G1-G5 then backup; no leakage; Slurm-only; two envs; real EEG; concurrent-change safety","stage controller and gate configs","pending/blocked; no scientific stage submitted"
EXEC-003,"bundle notes/server_codex_experiment_instruction.md:66-74","Audit both roots realpath owner permission mount free space contents and symlinks and preserve any existing state","reports/bootstrap_state.md","verified by lightweight control-plane checks; data root 96% used and local repo nonempty"
EXEC-004,"bundle notes/server_codex_experiment_instruction.md:76-102","Safely connect Git remote preserve nonempty worktree ignore data/secrets/logs make focused commits and do not push/release","reports/bootstrap_state.md; .gitignore","verified for bootstrap milestone; empty remote confirmed origin added and focused skeleton commit eb227a8 created locally; no push/release"
EXEC-005,"bundle notes/server_codex_experiment_instruction.md:104-124","Use and audit only eeg2025 and icml; retain separate explicit locks; no install/upgrade; file-based cross-env provenance","configs/environments.yaml; reports/environments/","verified for current bundle by strict Slurm jobs 918793 and 918794 after control validation 918792; separate explicit/pip hashes retained; no environment mutation"
EXEC-006,"bundle notes/server_codex_experiment_instruction.md:126-136","Audit and freeze cpu cpu-high A100 H100 L40S resource semantics","configs/cluster/slurm.yaml; reports/slurm/control_plane_audit.md","verified; cpu maps to partition CPU; sacct and config-hash warnings retained"
EXEC-007,"bundle notes/server_codex_experiment_instruction.md:138-140","Use one sbatch-only submit entry with explicit paths resources logs dependencies and atomic states","scripts/slurm/submit.sh; scripts/slurm/jobs/","implemented and hardened; corrected-bundle validation 918792 passed with zero failures and strict audits 918793/918794 completed; science jobs absent"
EXEC-008,"bundle notes/server_codex_experiment_instruction.md:142-159","Provide cross-night dependency monitoring checkpoint/retry boundaries and continue independent real-data paths","monitor/controller and run manifests","pending; scientific chain not legal yet"
EXEC-009,"bundle notes/server_codex_experiment_instruction.md:161-184","Complete attachment manifest full semantic/visual review safe archive extraction traceability and blocking evidence","reports/attachment_manifest.json; reports/attachment_review.md; this CSV","semantic and visual review verified with conflicts; initial jobs 918740/918742 retained as provenance-incomplete and hardened supplement pending"
EXEC-010,"bundle notes/server_codex_experiment_instruction.md:186-194","After attachments audit repository policies docs locks configs tests scheduler scripts status and produce implementation plan before model code","reports/implementation_plan.md; reports/repository_audit.md","verified for read-only repository audit and minimum change map; no model code added"
EXEC-011,"bundle notes/server_codex_experiment_instruction.md:196-227","Run full fixed-data-root read-only Slurm inventory including metadata formats symlinks hidden caches partials markers and report only to code root","scripts/slurm/jobs/inventory_data.sbatch; reports/data_inventory/","implemented hardened and included in Slurm syntax validation 918768; pending strict eeg2025 audit and cpu-high submission"
EXEC-012,"bundle notes/server_codex_experiment_instruction.md:229-241","Create evidence-backed dataset registries using only seven legal states and required fields","datasets/registry/*.json","pending inventory; no dataset marked available or missing yet"
EXEC-013,"bundle notes/server_codex_experiment_instruction.md:243-256","Respect the four datasets' limited roles and real-evidence requirements; never manufacture Klados support duration","dataset registry and split validator","pending data evidence"
EXEC-014,"bundle notes/server_codex_experiment_instruction.md:258-274","Download only confirmed missing authorized sources transactionally under data root with safe validation and no credentials leakage","dataset manifests and download jobs","not_started; downloads prohibited until full inventory/license audit"
EXEC-015,"bundle notes/server_codex_experiment_instruction.md:276-319","Use required responsibility skeleton one-way dependencies read-only raw data and content-hashed derived provenance","reports/implementation_plan.md; src/eeg_cspd/; datasets/","administrative responsibility skeleton and schemas implemented in eb227a8; scientific modules and derived data intentionally absent while blocked"
EXEC-016,"bundle notes/server_codex_experiment_instruction.md:321-341","Implement identifiable C_omega E semantics and reversible-regressor invariance without physiological-source claims","operators module and numerical property tests","pending/blocked before scientific semantics resolution"
EXEC-017,"bundle notes/server_codex_experiment_instruction.md:343-355","Build dataset-specific observed population posterior q0 from separate clean prior and E0 without test identity/support/clean target; NULL is not prior-only","posteriors module; prior registries; base tests","blocked by CONFLICT-SCI-001 and missing data/prior provenance"
EXEC-018,"bundle notes/server_codex_experiment_instruction.md:357-379","Implement a_tau as precision-factor reliability with squared precision PSD endpoints and audited kappa mapping","energies/masks modules and endpoint tests","pending; no scientific implementation"
EXEC-019,"bundle notes/server_codex_experiment_instruction.md:381-419","Use DeltaE=EC-E0 same-query energy interpolation no double counting and auditable Jacobian approximations/path equivalence","energy configs and equivalence tests","pending; manuscript lacks explicit DeltaE contract"
EXEC-020,"bundle notes/server_codex_experiment_instruction.md:421-430","Separate external and EEG-only regimes; prohibit EOG oracle target and identity in EEG-only; freeze detector/gradient behavior","mask configs and leakage tests","pending; CONFLICT-SCI-001 affects base boundary"
EXEC-021,"bundle notes/server_codex_experiment_instruction.md:432-449","Register a separate dataset prior with target provenance or mark evaluation-only; audit any transfer","configs/priors/*.yaml","blocked; real datasets and clean-target provenance unknown"
EXEC-022,"bundle notes/server_codex_experiment_instruction.md:451-459","Implement explicit NULL short circuit with zero individualized component calls and same-seed equality; fail closed","NullSampler and mock call-count tests","blocked by CONFLICT-SCI-001; no downstream gate"
EXEC-023,"bundle notes/server_codex_experiment_instruction.md:461-471","Separate oracle subtraction and native SGEYESUB IDs implementations inputs and provenance","baselines modules and isolation tests","pending source/data audit"
EXEC-024,"bundle notes/server_codex_experiment_instruction.md:473-515","Use leakage-resistant protocols/types and immutable outer/session/support/query IDs with intersection checks","src/eeg_cspd interfaces; tests/leakage/","pending implementation plan"
EXEC-025,"bundle notes/server_codex_experiment_instruction.md:517-532","Provide all required configs and immutable resolved provenance; keep thresholds TBD-PREREG until frozen before outer test","configs/; run manifest schema","partially_implemented; required prior energy operator mask baseline gate statistics and backup stubs exist; all science disabled and thresholds remain TBD-PREREG"
EXEC-026,"bundle notes/server_codex_experiment_instruction.md:534-546","Stage A requires complete attachment/data/license/readability/split/raw-derived credential evidence and at least one real EEG path","stage_a_status.json","blocked; attachment complete but inventory/split/real path pending and conflicts recorded"
EXEC-027,"bundle notes/server_codex_experiment_instruction.md:548-558","Stage B closes y-conditioned population base with train-only target provenance calibration and NULL equality","base status and tests","blocked by CONFLICT-SCI-001 and absent verified prior/data"
EXEC-028,"bundle notes/server_codex_experiment_instruction.md:560-570","Stage C permits synthetic engineering tests then one complete real-EEG outer fold and automatic all-fold/seed expansion","P0 run jobs and context results","blocked by Stages A/B"
EXEC-029,"bundle notes/server_codex_experiment_instruction.md:572-587","G1 combines oracle mechanism controls with real-EEG preservation/attenuation and stops all downstream on failure","configs/gates/g1_oracle.yaml; gate status","conflict; manuscript RQ1 permits semi-simulation-only evidence"
EXEC-030,"bundle notes/server_codex_experiment_instruction.md:589-605","G2 uses fixed correct/population/wrong/shuffled/oracle controls and all real outer folds","configs/gates/g2_specificity.yaml; gate status","conflict; manuscript RQ2 does not require real EEG all-fold evidence"
EXEC-031,"bundle notes/server_codex_experiment_instruction.md:607-624","G3 uses two strong matched baselines and complete real outer evaluation with unique-value and resource gates","configs/gates/g3_diffusion.yaml; parity audit","conflict; manuscript orders RQ3 before natural-data RQ4"
EXEC-032,"bundle notes/server_codex_experiment_instruction.md:626-636","G4 compares external EEG-only no-gate and NULL with real calibration/risk-coverage/abstention evidence","configs/gates/g4_attenuation.yaml","blocked by G1-G3 and missing data"
EXEC-033,"bundle notes/server_codex_experiment_instruction.md:638-650","G5 tests real drift detection degradation rollback and recovery with only preregistered safe actions","configs/gates/g5_drift.yaml","blocked by G1-G4 and missing data"
EXEC-034,"bundle notes/server_codex_experiment_instruction.md:652-673","Before all five pass B1-B6 are disabled stubs; afterwards one diagnosis-triggered family only; B3 is not projector and RPCA exploratory","configs/deferred_backups/*.yaml; backup controller","implemented_safe_subset; six configs exist with enabled=false and query routing forbidden; no controller fit search or result exists because CONFLICT-SCI-003 remains"
EXEC-035,"bundle notes/server_codex_experiment_instruction.md:675-690","Implement the ten required safety/leakage/base/NULL/math/P0/mask/intervention/oracle/drift test families and fail closed","tests/unit integration leakage smoke","pending; namespaces and synthetic-use boundary exist but scientific tests await semantic/data resolution and must execute via Slurm"
EXEC-036,"bundle notes/server_codex_experiment_instruction.md:692-702","Add numerical invariance endpoints PSD NULL call counts isolation visible-field parity and failed-sample retention tests","tests/property and leakage","pending"
EXEC-037,"bundle notes/server_codex_experiment_instruction.md:704-714","Run every substantive action by Slurm with estimates fixed resources scientific-stop rules retries and stale-input detection","submitter/controller/run manifests","partially_implemented for audits; science blocked"
EXEC-038,"bundle notes/server_codex_experiment_instruction.md:716-728","Enforce Base/P0/G1-G5 acceptance and freeze statistical thresholds; inconclusive never passes","stage and gate status schemas","pending/blocked"
EXEC-039,"bundle notes/server_codex_experiment_instruction.md:730-757","Persist the complete immutable per-run log contract with one actual environment lock requested/actual allocations and pseudonyms","runs schema/provenance module","pending; audit job evidence exists outside full run schema"
EXEC-040,"bundle notes/server_codex_experiment_instruction.md:759-768","Emit complete context_result schema and legal statuses","evaluation schema","pending"
EXEC-041,"bundle notes/server_codex_experiment_instruction.md:770-781","Keep five gate Parquets separate; restrict deferred rows; use participant/session paired inference Holm and retain failures","results schemas/statistics configs","pending; no result rows"
EXEC-042,"bundle notes/server_codex_experiment_instruction.md:783-821","Instantiate downstream sbatch only after signed passed status; arrays stay within gates; enable_backup verifies all signatures/diagnostic/new split","Slurm controller and jobs","pending; only audit chain submitted"
EXEC-043,"bundle notes/server_codex_experiment_instruction.md:823-847","Final report covers actual attachments data Git env jobs base/P0/gates/evidence/backups/claims without invention and no unauthorized upload","reports/final_delivery.md","pending"
CONFLICT-SCI-001,"manuscript 04_method.tex:90-118,143-149,217-221 versus server instruction:451-459","Manuscript shares query-derived a_tau between E0 and EC while NULL contract requires zero attenuation/mask calls","reports/attachment_review.md; population base/NULL implementation blocked","conflict; no silent interpretation and no Stage B submission"
CONFLICT-SCI-002,"manuscript 06_experiments.tex:9-25,55-75 versus server instruction:572-624","Manuscript RQ1-RQ3 can pass before natural EEG evidence that server G1-G3 require","reports/attachment_review.md; G1-G3 configs blocked","conflict; thresholds and gate jobs cannot be frozen/submitted"
CONFLICT-SCI-003,"manuscript 04_method.tex:217 and 06_experiments.tex:24-25,91-98 versus server instruction:652-673,821","Manuscript opens a backup after mechanism/specificity whereas server requires all G1-G5 passed","reports/attachment_review.md; deferred configs disabled","conflict; safe common behavior is no backup execution"
